pref,city,name,zip,addr,phone,note
滋賀県,多賀町,おおたき子育て支援センター,5220337,犬上郡多賀町富之尾1586‐5,070-9276-4504 （担当者直通）,
滋賀県,大津市,つどいの広場 ありんこ,5200114,大津市穴太二丁目21-15 風の子保育園内,077-579-4491,
滋賀県,大津市,つどいの広場 てくてく,5200862,大津市平津二丁目4-9 保育の家しょうなん内,077-537-5378,
滋賀県,大津市,つどいの広場 親と子の未来塾,5200248,大津市仰木の里東二丁目2-5 せんだん保育園内,077-573-2828,
滋賀県,大津市,坂本児童館,5200113,大津市坂本六丁目33-19,077-579-5922,
滋賀県,大津市,堅田児童館,5200243,大津市堅田二丁目1-11 北部地域文化センター２階,077-574-0131,
滋賀県,大津市,大津市中南部つどいの広場 ほっぺ,5200817,大津市昭和町15-15 膳所児童館２階,077-522-0721,
滋賀県,大津市,大津市子育て総合支援センター ゆめっこ,5200047,大津市浜大津四丁目１－１ 明日都浜大津３階,077-528-2525,
滋賀県,大津市,大津市木戸つどいの広場 にじっこ,5200514,大津市木戸58番地 木戸市民センター内,077-592-2070,
滋賀県,大津市,大津市東部つどいの広場 きらきらひろば,5202152,大津市月輪一丁目３番８号 アル・プラザ瀬田４階,077-544-3122,
滋賀県,大津市,小野児童館,5200531,大津市水明一丁目37-1,077-594-4677,
滋賀県,大津市,田上児童館,5202271,大津市稲津一丁目14-30,077-546-3659,
滋賀県,大津市,皇子が丘児童館,5200025,大津市皇子が丘一丁目9-10,077-525-3924,
滋賀県,守山市,ほほえみセンター,5240022,守山市守山5丁目3－16,077-514-3960,
滋賀県,守山市,守山市地域子育て支援センター,5240022,守山市守山２丁目1-23 カナリヤ保育園内,077-583-5460,
滋賀県,彦根市,彦根市地域子育て支援センター　きらきらひろば,5220047,彦根市日夏町4769子どもセンター内,0749-28-3645,
滋賀県,彦根市,彦根市地域子育て支援センター　さんさんひろば,5211122,彦根市三津町462番地1認定こども園ひかりの森内　地域コミュニティ「森のおうち」,0749-47-5511,
滋賀県,彦根市,彦根市地域子育て支援センター　まんまるひろば,5220044,彦根市竹ヶ鼻町43-1ビバシティ彦根内,0749-27-5555,
滋賀県,彦根市,彦根市地域子育て支援センター　チャチャチャひろば,5220022,彦根市里根町163-6東山児童館内,0749-23-3582,
滋賀県,愛荘町,わんぱくひろば,5291313,愛知郡愛荘町市731 福祉センター愛の郷内,0749-42-7170,
滋賀県,愛荘町,愛荘町子育て支援センター （あいっ子）,5291234,愛知郡愛荘町安孫子811-1 秦荘保健センター,0749-37-8058,
滋賀県,愛荘町,愛荘町子育て支援センター （つくしひろば）,5291302,愛知郡愛荘町川原680,0749-42-5051,
滋賀県,日野町,つどいのひろば　ぽけっと,5291602,蒲生郡日野町河原一丁目１番地,0748-53-2524,
滋賀県,日野町,わらべ地域子育て支援センター,5291648,蒲生郡日野町いせの218 わらべ保育園内,0748-36-1910,
滋賀県,東近江市,つどいの広場　えがお,5291541,東近江市蒲生堂町328-252,050-8036-0266,
滋賀県,東近江市,つどいの広場　すずかけっこ,5270085,東近江市下羽田町84－5,050-8034-1950,
滋賀県,東近江市,つどいの広場　つくし児童館,5211222,東近江市佐野町341,0748-56-1680,
滋賀県,東近江市,つどいの広場　ぽれぽれ,5270022,東近江市八日市上之町1-41,050-8035-9904,
滋賀県,東近江市,つどいの広場　やまびこ,5270231,東近江市山上町829-1,050-8036-0263,
滋賀県,東近江市,つどいの広場　童夢の館どむどむ,5270115,東近江市下里町3,050-5801-1406,
滋賀県,東近江市,五個荘子育て支援センター,5291431,東近江市五個荘山本町306 五個荘あさひ幼児園内,050-5801-1150,
滋賀県,東近江市,八日市子育て支援センター,5270013,東近江市東中野町4番5号　保健子育て複合施設ハピネス2階,0748-22-8201,
滋賀県,東近江市,愛東・永源寺子育て支援センター,5270162,東近江市妹町29-4 愛東あいあい幼稚園内,050-5802-8816,
滋賀県,東近江市,湖東子育て支援センター,5270134,東近江市平松町829 湖東ひばり幼児園内,050-5802-9360,
滋賀県,東近江市,能登川子育て支援センター,5211241,東近江市乙女浜町176 能登川にじいろ幼児園内,050-5802-9362,
滋賀県,東近江市,蒲生子育て支援センター,5291531,東近江市市子川原町676 蒲生支所内3階,0748-55-4889,
滋賀県,東近江市,ＥＴＷＡＳ　ＮＥＵＥＳ,5270011,東近江市八日市浜野町3-1 アル・プラザ八日市4階,050-5278-0364,
滋賀県,栗東市,栗東市地域子育て包括支援センター,5203031,栗東市綣二丁目４番５号 ウイングプラザ２階 大宝東児童館内,077-551-2370,
滋賀県,栗東市,栗東市地域子育て支援センター治田東,5203015,栗東市安養寺190番地 治田東児童館内,077-554-6115,
